N,K,M,ef_construction,ef,recall_at_10,build_time_sec,query_time_sec,qps,exact_time_sec,varied_param,seed,timestamp
20000,10,4,200,100,0.911325,0.22556591033935547,0.10484528541564941,190757.26601069237,16.8429057598114,M,44,20260608_151212
20000,10,8,200,100,0.987345,0.29532480239868164,0.16402578353881836,121932.04975769433,16.8429057598114,M,44,20260608_151212
20000,10,12,200,100,0.9955799999999999,0.3652915954589844,0.24434232711791992,81852.37586915497,16.8429057598114,M,44,20260608_151212
20000,10,16,200,100,0.9979950000000001,0.44701242446899414,0.3141813278198242,63657.50676141244,16.8429057598114,M,44,20260608_151212
20000,10,24,200,100,0.9992449999999999,0.578819990158081,0.442124605178833,45236.116166641055,16.8429057598114,M,44,20260608_151212
20000,10,32,200,100,0.99954,0.6635756492614746,0.5497565269470215,36379.74088469048,16.8429057598114,M,44,20260608_151212
20000,10,48,200,100,0.9996900000000002,0.7259950637817383,0.6563937664031982,30469.515439783663,16.8429057598114,M,44,20260608_151212
20000,10,64,200,100,0.9997099999999999,0.7393877506256104,0.7021632194519043,28483.405917518197,16.8429057598114,M,44,20260608_151212
20000,10,16,200,10,0.958325,0.4407327175140381,0.05193305015563965,385111.2141509391,16.8429057598114,ef,44,20260608_151212
20000,10,16,200,20,0.97857,0.4565091133117676,0.08703231811523438,229799.69318430856,16.8429057598114,ef,44,20260608_151212
20000,10,16,200,50,0.9941,0.4507284164428711,0.17032790184020996,117420.57398653709,16.8429057598114,ef,44,20260608_151212
20000,10,16,200,100,0.997975,0.44797539710998535,0.3254356384277344,61456.084209539214,16.8429057598114,ef,44,20260608_151212
20000,10,16,200,150,0.9989,0.44307684898376465,0.43338537216186523,46148.30422225279,16.8429057598114,ef,44,20260608_151212
20000,10,16,200,200,0.99931,0.4518096446990967,0.567528486251831,35240.52181431003,16.8429057598114,ef,44,20260608_151212
20000,10,16,200,250,0.9995,0.4536900520324707,0.6921725273132324,28894.530208578035,16.8429057598114,ef,44,20260608_151212
20000,10,16,200,300,0.999685,0.44583821296691895,0.8376495838165283,23876.332521858723,16.8429057598114,ef,44,20260608_151212
20000,10,16,200,400,0.99985,0.45287036895751953,1.0803806781768799,18511.993414904075,16.8429057598114,ef,44,20260608_151212
20000,10,16,50,100,0.9915700000000001,0.15477371215820312,0.2893831729888916,69112.51885667772,16.8429057598114,ef_construction,44,20260608_151212
20000,10,16,100,100,0.9958049999999999,0.26346254348754883,0.2779855728149414,71946.17978723039,16.8429057598114,ef_construction,44,20260608_151212
20000,10,16,150,100,0.997365,0.35828304290771484,0.3171117305755615,63069.25311056694,16.8429057598114,ef_construction,44,20260608_151212
20000,10,16,200,100,0.9979399999999999,0.45264148712158203,0.321563720703125,62196.070987947234,16.8429057598114,ef_construction,44,20260608_151212
20000,10,16,250,100,0.9981450000000001,0.5224502086639404,0.29212093353271484,68464.79558357356,16.8429057598114,ef_construction,44,20260608_151212
20000,10,16,300,100,0.9983,0.6069695949554443,0.3199460506439209,62510.53876035712,16.8429057598114,ef_construction,44,20260608_151212
20000,10,16,400,100,0.99839,0.7434628009796143,0.32529497146606445,61482.65959926297,16.8429057598114,ef_construction,44,20260608_151212
20000,10,16,500,100,0.9984150000000002,0.8640620708465576,0.3096761703491211,64583.59381496001,16.8429057598114,ef_construction,44,20260608_151212
